Sex,Age,Married,Income,HoursWk,Race,USCitizen,HealthInsurance,Language
M,53,married,5,16,asian,citizen,no,other
M,38,married,0,,white,citizen,no,english
M,49,married,294,80,white,citizen,yes,english
M,9,not married,NA,,white,citizen,yes,english
M,65,married,15,40,other,not citizen,yes,other
M,56,married,0,,black,citizen,yes,english
F,41,married,12.5,25,white,citizen,yes,other
M,53,married,83,40,black,citizen,yes,english
M,80,married,0,,white,citizen,yes,english
F,67,married,10,40,white,citizen,yes,english
F,65,not married,28,40,white,citizen,yes,english
M,10,not married,NA,,white,citizen,yes,english
M,48,not married,24,30,asian,citizen,yes,english
F,64,not married,40,40,white,citizen,yes,english
M,11,not married,NA,,asian,citizen,yes,other
F,35,married,0,,white,not citizen,yes,other
M,37,not married,1.5,25,white,citizen,yes,english
F,5,not married,NA,,black,citizen,yes,english
F,9,not married,NA,,black,citizen,no,other
F,41,married,0.85,5,white,citizen,yes,english
M,41,married,55,40,white,citizen,yes,english
F,18,not married,5,37,white,citizen,yes,other
M,66,married,0,,white,citizen,yes,english
F,39,married,76,42,white,citizen,yes,english
F,14,not married,NA,,white,citizen,yes,other
M,42,not married,0,,white,citizen,yes,english
F,77,not married,0,,black,citizen,yes,english
M,27,married,45,40,white,citizen,yes,english
F,37,married,97,40,asian,citizen,yes,other
M,38,married,6,60,white,citizen,yes,english
M,23,not married,17.5,40,white,citizen,yes,english
F,56,married,32,45,white,citizen,yes,english
F,56,married,3.2,20,white,citizen,no,english
F,49,married,30,32,white,citizen,yes,english
M,82,not married,0,,white,citizen,yes,english
F,16,not married,0,,white,citizen,yes,english
F,38,married,20,30,white,not citizen,yes,other
M,42,married,27,60,white,citizen,yes,english
F,70,married,0,,white,citizen,yes,english
M,11,not married,NA,,white,citizen,yes,english
F,27,married,12,40,white,not citizen,no,other
F,41,married,0,,white,not citizen,yes,other
M,27,married,24,40,other,citizen,yes,other
M,49,married,93,40,white,citizen,yes,english
F,41,not married,18.5,40,black,citizen,yes,english
F,73,not married,0,,white,citizen,yes,english
F,12,not married,NA,,white,citizen,no,english
M,66,married,38.8,40,white,citizen,yes,english
F,75,not married,0,,other,citizen,yes,other
F,24,not married,18.7,40,white,citizen,no,english
F,22,not married,5.8,30,white,citizen,yes,english
F,67,married,0,,white,citizen,yes,english
F,12,not married,NA,,white,citizen,yes,english
M,61,married,0,,white,citizen,yes,english
M,49,married,71,40,white,citizen,yes,english
F,45,not married,0,,white,citizen,yes,english
F,14,not married,NA,,black,citizen,yes,english
M,87,married,0,,white,citizen,yes,english
F,25,not married,10.8,30,black,citizen,yes,english
F,78,married,0,,white,citizen,yes,other
M,52,married,0,60,black,citizen,yes,english
F,48,married,70,55,white,citizen,yes,english
F,43,not married,0,,black,citizen,yes,english
F,52,married,0,,asian,citizen,yes,english
F,8,not married,NA,,white,citizen,yes,english
M,61,not married,0,,white,citizen,yes,other
F,47,married,110,48,white,citizen,yes,english
F,21,married,17,45,black,citizen,yes,english
F,27,married,28,32,other,citizen,no,other
F,20,not married,0.45,25,white,citizen,yes,english
F,27,married,40,40,asian,citizen,yes,other
M,49,married,24,45,white,not citizen,yes,other
F,45,not married,2,23,white,citizen,no,english
M,18,not married,0.96,16,white,citizen,yes,english
M,14,not married,NA,,black,citizen,yes,english
M,20,not married,12,22,white,citizen,yes,other
F,47,married,12,40,white,citizen,yes,english
F,32,married,40,45,white,citizen,yes,english
F,12,not married,NA,,white,citizen,yes,english
F,30,not married,0,,white,citizen,yes,english
M,49,married,50,40,white,citizen,yes,english
M,70,married,0,,white,citizen,yes,english
F,18,not married,17.5,32,white,citizen,yes,english
M,58,married,0,,white,citizen,yes,english
F,12,not married,NA,,white,citizen,yes,english
M,85,married,0,,white,citizen,yes,english
F,26,not married,95,60,white,citizen,yes,english
M,44,not married,75,40,white,citizen,yes,english
M,44,married,1.8,20,white,citizen,no,english
M,43,married,50,40,white,citizen,yes,english
M,63,not married,72,44,white,citizen,yes,english
F,52,not married,0,,white,citizen,yes,english
F,38,not married,0,,white,citizen,no,english
M,18,not married,0,,white,citizen,yes,english
M,40,married,30,60,white,citizen,yes,english
M,74,married,4.6,25,white,citizen,yes,english
F,53,married,7.2,24,white,citizen,yes,english
M,61,married,0,,white,citizen,yes,english
F,34,married,0,40,white,citizen,yes,english
M,57,married,60,40,white,citizen,yes,english
F,35,married,0,,other,not citizen,no,other
M,66,married,84,32,white,citizen,yes,english
F,52,married,0,,other,citizen,yes,english
M,21,not married,0,,black,citizen,no,english
F,8,not married,NA,,white,citizen,yes,english
M,36,married,15,40,black,not citizen,no,other
M,10,not married,NA,,black,citizen,no,english
F,57,not married,0,,white,citizen,no,english
M,4,not married,NA,,white,citizen,yes,english
F,79,married,0,,white,citizen,yes,english
F,43,not married,72,50,white,citizen,yes,english
M,24,not married,0,,white,citizen,no,other
M,68,married,0,,black,citizen,yes,english
M,67,married,0,,white,citizen,yes,english
F,74,not married,1,10,white,citizen,yes,english
M,19,not married,0,,other,citizen,yes,other
M,62,married,48,40,white,citizen,yes,english
F,19,not married,6,40,white,citizen,yes,english
F,49,married,28.6,28,white,citizen,no,english
M,68,married,0,,white,citizen,yes,english
F,5,not married,NA,,white,citizen,no,english
F,36,not married,18,20,white,citizen,yes,english
F,32,married,0,,asian,not citizen,yes,other
F,34,married,0,,white,citizen,yes,english
F,43,married,55,40,white,citizen,yes,other
M,87,married,0,,white,citizen,yes,english
F,79,not married,0,,white,citizen,yes,english
M,46,not married,0,,white,citizen,yes,english
M,31,married,200,40,asian,not citizen,yes,english
F,9,not married,NA,,black,citizen,yes,english
M,21,not married,26,40,white,citizen,yes,english
M,40,not married,45,40,white,citizen,yes,english
F,62,not married,0,,white,citizen,yes,english
M,64,not married,30,42,white,citizen,yes,english
M,33,married,0,,white,citizen,yes,english
F,88,not married,0,,white,citizen,yes,english
F,59,married,30,40,asian,citizen,yes,english
M,56,married,2.8,18,white,citizen,yes,english
F,32,not married,12,40,white,citizen,no,english
M,8,not married,NA,,white,citizen,yes,english
M,54,not married,0,,white,citizen,no,english
F,5,not married,NA,,white,citizen,no,english
F,46,not married,0,,other,not citizen,yes,other
M,58,married,175,50,white,citizen,yes,english
F,58,not married,18,29,white,citizen,no,english
F,51,not married,0,40,white,citizen,yes,english
M,80,married,0,,white,citizen,yes,english
M,66,not married,25,50,other,citizen,yes,other
F,50,married,40,40,black,citizen,yes,other
F,63,married,0,,white,citizen,yes,english
M,30,not married,48.8,60,white,citizen,no,english
F,50,married,10,40,white,citizen,no,english
F,16,not married,0,,black,citizen,no,english
M,59,not married,24,40,other,citizen,yes,english
F,48,married,68,40,black,not citizen,yes,other
F,54,not married,1.1,4,white,citizen,yes,english
F,29,married,48,40,white,citizen,yes,english
F,28,married,0,12,white,citizen,yes,english
F,11,not married,NA,,white,citizen,yes,english
F,14,not married,NA,,white,citizen,yes,english
M,16,not married,0.5,12,white,citizen,yes,english
F,6,not married,NA,,black,citizen,yes,english
M,43,not married,382,50,white,citizen,yes,english
M,38,not married,60,45,other,citizen,yes,other
F,4,not married,NA,,white,citizen,yes,english
F,0,not married,NA,,asian,citizen,yes,english
F,58,married,17,30,white,citizen,yes,english
F,33,not married,0,,other,not citizen,no,other
M,17,not married,10.8,30,white,citizen,yes,english
M,33,married,53,45,white,citizen,yes,english
M,39,not married,0,,black,citizen,no,english
F,41,not married,29,40,white,citizen,yes,english
F,34,married,68,41,white,citizen,yes,english
M,41,not married,16,40,other,citizen,yes,english
M,36,married,102,15,white,citizen,yes,english
F,51,not married,0,,black,citizen,yes,english
F,61,not married,80,40,black,citizen,yes,english
M,94,not married,0,,white,citizen,yes,english
F,38,not married,7.5,39,white,citizen,yes,english
F,54,married,3,13,white,citizen,yes,english
F,24,not married,36,41,white,citizen,yes,english
M,20,not married,10,30,other,citizen,no,other
M,15,not married,0,,black,citizen,yes,english
F,49,married,40,40,white,citizen,yes,english
M,18,not married,0,,white,citizen,yes,english
F,54,not married,85,40,white,citizen,yes,english
F,42,married,10,25,white,citizen,yes,english
F,31,married,75,60,white,not citizen,yes,english
F,6,not married,NA,,other,citizen,yes,other
M,82,married,0,,white,citizen,yes,english
F,88,not married,0,,white,citizen,yes,english
F,61,not married,0,,white,citizen,no,english
F,24,not married,9.5,20,white,citizen,yes,english
F,15,not married,0,,other,citizen,yes,other
F,76,married,0,,white,citizen,yes,english
F,64,not married,0,,white,citizen,yes,english
M,2,not married,NA,,white,citizen,yes,english
F,0,not married,NA,,white,citizen,yes,english
M,1,not married,NA,,white,citizen,yes,english
M,12,not married,NA,,white,citizen,yes,english
F,40,not married,45,40,white,not citizen,no,other
F,26,married,28,80,white,citizen,yes,english
M,83,married,0,,white,citizen,yes,english
F,54,married,12,24,white,citizen,yes,english
F,22,not married,12,40,white,citizen,yes,english
M,53,married,86,40,black,citizen,yes,english
M,54,married,0,,white,citizen,yes,english
F,48,married,27.5,40,white,citizen,yes,english
M,43,married,100,45,white,citizen,yes,english
F,66,married,0,,white,citizen,yes,english
M,58,married,70,40,white,citizen,yes,english
M,75,married,0,,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
M,66,married,24.5,15,white,citizen,yes,english
F,74,married,0,,white,citizen,yes,english
F,74,not married,13,35,black,citizen,yes,english
M,38,married,0,60,white,citizen,yes,english
M,69,married,0,,white,citizen,yes,english
F,85,not married,0,,black,citizen,yes,english
F,61,married,108,40,white,citizen,yes,english
F,33,married,0,,white,citizen,yes,english
F,38,married,17.7,30,other,not citizen,no,other
M,68,not married,0,,white,citizen,yes,other
M,21,married,2.5,30,white,citizen,no,english
M,26,not married,0,60,white,citizen,no,english
F,17,not married,0,,white,citizen,yes,english
M,69,not married,0,,white,citizen,yes,english
F,36,married,97,40,white,citizen,yes,english
F,28,not married,80,45,white,citizen,yes,english
F,44,married,0,,white,citizen,no,english
F,24,not married,24,40,other,citizen,yes,other
M,56,not married,1.2,40,black,citizen,no,english
M,65,married,0,,asian,citizen,yes,other
F,32,not married,14.4,23,black,citizen,no,english
M,22,married,8.4,40,white,citizen,yes,english
F,57,not married,84,40,white,citizen,yes,english
M,45,married,24,40,white,citizen,yes,english
F,84,not married,0,,white,citizen,yes,english
M,43,married,18.7,40,white,not citizen,yes,other
F,42,married,4,10,white,citizen,yes,english
F,82,not married,0,,white,citizen,yes,english
F,41,not married,4.7,40,other,citizen,yes,english
M,45,married,24,40,white,citizen,yes,english
F,50,married,20.9,40,white,not citizen,yes,other
F,42,not married,65,40,white,citizen,yes,english
F,77,married,0,,white,citizen,yes,english
F,93,married,0,,black,citizen,yes,english
F,66,married,17.4,22,white,citizen,yes,english
F,19,not married,3.6,15,asian,citizen,yes,english
M,15,not married,0,,other,citizen,yes,other
F,50,married,19.5,32,white,citizen,yes,english
M,3,not married,NA,,black,citizen,yes,english
F,37,married,51,40,asian,citizen,yes,other
M,40,married,50,40,white,citizen,yes,english
F,53,married,12,40,white,citizen,yes,english
F,67,married,0,,white,citizen,yes,english
F,33,not married,38,40,white,citizen,yes,english
M,61,married,46,45,white,citizen,yes,english
F,41,married,0,,white,citizen,no,english
F,50,not married,54,40,white,citizen,yes,english
M,44,married,12,60,asian,not citizen,no,other
M,71,married,0,,white,citizen,yes,english
M,29,married,66,53,white,citizen,yes,english
F,57,married,0,,white,not citizen,yes,other
F,29,married,0,,white,citizen,yes,english
F,89,married,0,,white,citizen,yes,english
F,10,not married,NA,,black,citizen,yes,english
M,17,not married,2,32,white,citizen,yes,english
F,56,married,10.6,25,white,citizen,yes,english
M,14,not married,NA,,white,citizen,yes,english
F,22,not married,20,40,white,citizen,yes,english
F,45,not married,77,60,white,citizen,yes,english
F,54,married,40,36,asian,citizen,no,other
M,9,not married,NA,,white,citizen,yes,english
M,43,married,35,50,white,citizen,yes,english
M,27,not married,160,50,white,citizen,yes,english
M,9,not married,NA,,white,citizen,no,english
M,2,not married,NA,,white,citizen,yes,english
F,43,not married,36,40,white,citizen,yes,english
F,4,not married,NA,,white,citizen,yes,english
M,61,not married,0,,white,citizen,yes,english
F,66,married,0,,white,citizen,yes,english
M,24,not married,20,20,white,citizen,yes,english
M,37,not married,103,40,white,citizen,yes,other
F,59,married,0,,other,citizen,yes,english
F,79,not married,0,,white,citizen,yes,english
M,5,not married,NA,,white,citizen,yes,english
M,69,married,0,,black,citizen,yes,english
F,38,not married,0,,black,citizen,yes,english
M,76,married,0,,white,citizen,yes,english
F,51,not married,23,25,white,citizen,yes,english
F,8,not married,NA,,black,citizen,yes,english
F,77,not married,0,,white,citizen,yes,english
F,50,not married,0,,asian,citizen,yes,other
F,64,married,0,,white,not citizen,no,other
F,87,not married,0,,white,citizen,yes,english
F,70,married,0,,white,citizen,yes,english
F,45,not married,25,40,white,citizen,yes,english
F,46,married,98,40,white,citizen,yes,english
M,22,not married,0,,other,not citizen,no,other
F,78,married,0,,white,citizen,yes,english
M,8,not married,NA,,black,citizen,yes,english
M,60,married,0,84,white,citizen,yes,english
F,11,not married,NA,,black,citizen,yes,english
M,60,not married,0,20,white,citizen,yes,english
M,8,not married,NA,,black,citizen,no,english
M,21,not married,25,40,white,citizen,yes,english
M,16,not married,0,,white,citizen,yes,english
F,69,not married,0,,black,citizen,yes,english
M,39,married,0,,other,not citizen,no,other
M,18,not married,3.8,40,white,citizen,yes,english
M,58,married,0,,black,citizen,yes,english
F,64,married,0,,white,citizen,yes,other
F,12,not married,NA,,other,citizen,yes,other
F,40,married,0,,white,citizen,yes,other
M,15,not married,0,,white,citizen,yes,english
M,35,not married,70,50,white,citizen,no,english
F,55,married,0,,white,citizen,yes,english
F,53,married,0,,white,citizen,no,english
F,33,married,0,,white,citizen,yes,english
M,64,married,0,,white,citizen,yes,english
F,38,married,18,24,white,citizen,yes,english
M,8,not married,NA,,black,citizen,no,english
F,2,not married,NA,,white,citizen,yes,english
M,68,married,15.6,40,white,not citizen,yes,other
M,61,married,0,,white,citizen,yes,english
M,30,not married,25,40,other,not citizen,no,other
F,20,not married,1,15,white,citizen,no,other
M,63,not married,0,,white,citizen,yes,english
M,53,not married,49.4,60,white,citizen,yes,english
M,13,not married,NA,,asian,citizen,yes,english
F,51,married,22,40,white,citizen,yes,english
M,12,not married,NA,,white,citizen,yes,english
F,46,not married,33,40,white,citizen,yes,english
M,50,not married,21.9,40,white,citizen,yes,english
F,45,not married,42,32,white,citizen,yes,english
M,35,not married,70,72,white,citizen,yes,english
F,50,married,6,40,white,citizen,no,english
F,35,not married,0,,white,citizen,yes,english
M,5,not married,NA,,white,citizen,yes,english
M,30,not married,74,37,white,citizen,no,english
F,3,not married,NA,,black,citizen,yes,english
M,35,not married,111,40,asian,citizen,yes,english
M,49,married,120,56,white,citizen,yes,english
F,50,married,32,40,white,citizen,yes,english
F,30,not married,20,13,white,citizen,no,other
F,30,married,23.7,30,white,not citizen,no,other
F,30,not married,30,30,black,citizen,yes,english
M,39,married,15,38,white,citizen,no,english
F,5,not married,NA,,white,citizen,yes,english
F,20,not married,3.2,24,white,citizen,no,english
